NAME,Income,Crime,Incarceration,Wage
Alabama,"73412",519.6,486,7.25
Alaska,"85837",885,258,9.89
Arizona,"72780",474.9,569,11
Arkansas,"66211",543.6,598,9.25
California,"75825",447.4,328,11
Colorado,"86286",397.2,351,11.1
Connecticut,"90252",207.4,268,10.1
Delaware,"79386",423.6,420,8.75
Florida,"67664",384.9,466,8.46
Georgia,"77173",326.6,506,7.25
Hawaii,"80176",248.6,240,10.1
Idaho,"70606",227.1,447,7.25
Illinois,"81313",404.1,324,8.25
Indiana,"77165",382.3,389,7.25
Iowa,"84435",250.1,285,7.25
Kansas,"82186",439,332,7.25
Kentucky,"70317",211.9,527,7.25
Louisiana,"68031",537.5,719,7.25
Maine,"73837",112.1,134,11
Maryland,"92307",468.7,317,10.1
Massachusetts,"95455",338.1,120,12
Michigan,"77078",449.4,397,9.25
Minnesota,"91710",220.4,191,9.86
Mississippi,"66560",234.4,619,7.25
Missouri,"77490",502.1,532,8.6
Montana,"73437",374.1,350,8.5
Nebraska,"83589",284.8,273,9
Nevada,"73301",541.1,451,8.25
New Hampshire,"89233",173.2,204,7.25
New Jersey,"89235",208.1,217,8.85
New Mexico,"62285",856.6,344,7.5
New York,"72480",350.5,249,11.1
North Carolina,"74597",377.6,341,7.25
North Dakota,"93101",280.6,226,7.25
Ohio,"80671",279.9,441,8.55
Oklahoma,"71131",466.1,704,7.25
Oregon,"78431",285.5,364,10.75
Pennsylvania,"79040",306,375,7.25
Rhode Island,"85054",219.1,170,10.5
South Carolina,"72973",488.3,386,7.25
South Dakota,"82566",404.7,453,9.1
Tennessee,"72878",623.7,429,7.25
Texas,"74024",410.9,553,7.25
Utah,"85046",172,206,7.25
Vermont,"78842",200,180,10.78
Virginia,"87150",311.5,437,7.25
Washington,"83183",289.9,262,12
West Virginia,"64644",295.4,392,8.75
Wisconsin,"82190",212.2,391,7.25
Wyoming,"81486",237.5,429,7.25
